,Unnamed: 0,brewery_id,city,country,lat,lng,location,state
0,0,1,Plzeň,CZ,49.7384314,13.3736371,"Plzeň, CZ",
1,1,2,San Antonio,s_id,29.4251905,-98.4945922,"San Antonio, TX, s_id",TX
2,2,3,Covington,s_id,30.4754702,-90.1009108,"Covington, LA, s_id",LA
3,3,4,Portland,,45.515232,-122.6783853,Portland,
4,4,5,Yakima,US,46.6020711,-120.5058987,"Yakima, WA, US",WA
5,5,6,Ninove,,50.83364359999999,4.0187415,Ninove,
6,6,8,Portland,,45.515232,-122.6783853,Portland,
7,7,9,London,,51.5072178,-0.1275862,"London, GB2",GB2
8,8,11,Allston,US,42.3555087,-71.1328247,"Allston, MA, US",MA
9,9,12,Cambridge,US,42.3736158,-71.1097335,"Cambridge, MA, US",MA
10,10,13,Boston,US,42.3600825,-71.0588801,"Boston, MA, US",MA
11,11,14,Cambridge,s_id,42.3736158,-71.1097335,"Cambridge, MA, s_id",MA
12,12,15,Cambridge,s_id,42.3736158,-71.1097335,"Cambridge, MA, s_id",MA
13,13,17,Boston,s_id,42.3600825,-71.0588801,"Boston, MA, s_id",MA
14,14,18,"Cinderford, Gloucestershire",GB,51.825303,-2.5009579,"Cinderford, Gloucestershire, GB",
15,15,19,,,,,,
16,16,20,Westminster,s_id,42.5459227,-71.9106308,"Westminster, MA, s_id",MA
17,17,21,Breda,,51.5719149,4.768323,"Breda, Netherlands",
18,18,22,Chambly,s_id,45.4391627,-73.2902463,"Chambly, QC, s_id",QC
19,19,23,Boulder,s_id,40.0149856,-105.2705456,"Boulder, CO, s_id",CO
20,20,24,Peeblesshire,,55.378051,-3.435973,"Peeblesshire, UK",UK
21,21,25,"Ipswich, Suffolk",GB,52.056736,1.14822,"Ipswich, Suffolk, GB",
22,22,26,Munster,s_id,41.5644798,-87.5125412,"Munster, IN, s_id",IN
23,23,27,,,,,,
24,24,31,Münster,,51.9606649,7.6261347,"Münster, Germany",Germany
25,25,32,Bremen,s_id,53.07929619999999,8.8016937,"Bremen, s_id",
26,26,34,,,,,,
27,27,35,Jamaica Plain,,42.3132414,-71.1141118,Jamaica Plain,
28,28,36,Ronchin Lille,,50.6026398,3.0898445,Ronchin Lille,
29,29,38,,,,,,
30,30,39,Aying,,47.97002089999999,11.7765993,Aying,
31,31,40,Duisburg,,51.4344079,6.762329299999999,Duisburg,
32,32,41,Oud-Turnhout,,51.3179033,4.982241999999999,Oud-Turnhout,
33,33,42,Cooperstown,,42.7006303,-74.924321,Cooperstown,
34,34,43,Portland,,45.515232,-122.6783853,Portland,
35,35,45,Brooklyn,,40.6781784,-73.9441579,Brooklyn,
36,36,48,Ertvelde,,51.1787632,3.7466865,Ertvelde,
37,37,49,,,,,,
38,38,51,,,,,,
39,39,52,Westport,,41.1414717,-73.3579049,Westport,
40,40,53,Glasgow,,55.86167039999999,-4.2583345,Glasgow,
41,41,54,Moultonborough,,43.7551145,-71.3965306,Moultonborough,
42,42,55,,,,,,
43,43,56,Austin,,30.267153,-97.7430608,Austin,
44,44,57,Monterrey (Nuevo León),,25.6866142,-100.3161126,Monterrey (Nuevo León),
45,45,58,Arequipa,,-16.4090474,-71.537451,Arequipa,
46,46,59,Lowell,,42.6334247,-71.3161718,Lowell,
47,47,60,Milford,US,42.59063219999999,-74.9451573,"Milford, NY, US",NY
48,48,61,Pawcatuck,,41.3773218,-71.8336802,Pawcatuck,
49,49,64,Milton,,42.2495321,-71.0661653,Milton,
50,50,65,Ipswich,,52.056736,1.14822,Ipswich,
51,51,67,Brisbane,,-27.4704528,153.0260341,Brisbane,
52,52,68,Frederick,,39.41426879999999,-77.4105409,Frederick,
53,53,69,Frederick,,39.41426879999999,-77.4105409,Frederick,
54,54,70,,,,,,
55,55,71,London,,51.5072178,-0.1275862,London,
56,56,72,Kelheim,,48.9175771,11.8931689,Kelheim,
57,57,73,Cleveland,,41.49932,-81.6943605,Cleveland,
58,58,74,Portland,,45.515232,-122.6783853,Portland,
59,59,75,Ciudad De México (Estado de México),,19.4968732,-99.7232673,Ciudad De México (Estado de México),
60,60,76,München,,48.1351253,11.5819806,München,
61,61,77,Watertown,,43.9747838,-75.9107565,Watertown,
62,62,78,,,,,,
63,63,79,,,,,,
64,64,81,Zoeterwoude,,52.1216782,4.4967413,Zoeterwoude,
65,65,82,,,,,,
66,66,84,Hallein,,47.68248000000001,13.10037,Hallein,
67,67,85,South Windsor,,41.8489872,-72.5717551,South Windsor,
68,68,86,,,,,,
69,69,87,,,,,,
70,70,88,Stevens Point,,44.52357920000001,-89.574563,Stevens Point,
71,71,89,Halifax,,44.6475811,-63.5727683,"Halifax, NS",NS
72,72,90,Horsham,,51.062883,-0.325858,"Horsham, GB2",GB2
73,73,91,Bangalore,,12.9715987,77.5945627,Bangalore,
74,74,92,San Salvador,,13.6929403,-89.2181911,San Salvador,
75,75,93,,,,,,
76,76,94,Bridgewaters Corners,,43.6199134,-72.6653771,"Bridgewaters Corners, VT",VT
77,77,96,South Burlington,US,44.4669941,-73.1709604,"South Burlington, US",
78,78,98,Boston,US,42.3600825,-71.0588801,"Boston, MA, US",MA
79,79,100,Brattleboro,US,42.8509152,-72.5578678,"Brattleboro, VT, US",VT
80,80,101,Stamford,GB,52.65128199999999,-0.480216,"Stamford, GB2, GB",GB2
81,81,102,,,,,,
82,82,105,Milwaukee,US,43.0389025,-87.9064736,"Milwaukee, WI, US",WI
83,83,106,Woodridge,US,41.7469749,-88.0503406,"Woodridge, IL, US",IL
84,84,108,,,,,,
85,85,109,"Burnley, Lancashire",GB,53.7892877,-2.2405035,"Burnley, Lancashire, GB2, GB",GB2
86,86,110,,,,,,
87,87,111,,,,,,
88,88,112,Fort Bragg,US,39.445723,-123.8052935,"Fort Bragg, CA, US",CA
89,89,113,Tadcaster,GB,53.883551,-1.260889,"Tadcaster, GB2, GB",GB2
90,90,114,,,,,,
91,91,115,Derry,US,42.8806437,-71.3273346,"Derry, NH, US",NH
92,92,116,Pittsfield,US,42.4500845,-73.2453824,"Pittsfield, MA, US",MA
93,93,117,,,,,,
94,94,119,Middlebury,US,44.0153371,-73.16734,"Middlebury, VT, US",VT
95,95,120,Paderborn,DE,51.7189205,8.757509299999999,"Paderborn, DE",
96,96,122,Utica,US,43.100903,-75.232664,"Utica, NY, US",NY
97,97,124,München,DE,48.1351253,11.5819806,"München, DE",
98,98,125,Pittsburgh,US,40.44062479999999,-79.9958864,"Pittsburgh, PA, US",PA
99,99,126,San Antonio,US,29.4251905,-98.4945922,"San Antonio, TX, US",TX
100,100,127,Portland,US,45.515232,-122.6783853,"Portland, OR, US",OR
101,101,128,Marktoberdorf,DE,47.779563,10.6183077,"Marktoberdorf, DE",
102,102,131,Rockland,ME,44.1036914,-69.1089293,"Rockland, ME, s_id",
103,103,132,Newport,OR,44.6367836,-124.0534505,"Newport, OR, s_id",
104,104,133,,,,,,
105,105,137,Bangor,s_id,44.8016128,-68.7712257,"Bangor, ME, s_id",ME
106,106,138,"Faversham, Kent",GB,51.315994,0.889358,"Faversham, Kent, GB",
107,107,139,Portland,s_id,43.6590993,-70.2568189,"Portland, ME, s_id",ME
108,108,140,Chico,s_id,39.7284944,-121.8374777,"Chico, CA, s_id",CA
109,109,141,Hampton,s_id,42.93759319999999,-70.8389219,"Hampton, NH, s_id",NH
110,110,142,München,,48.1351253,11.5819806,"Munich, Germany",
111,111,143,Shiner,s_id,29.4291304,-97.1705425,"Shiner, TX, s_id",TX
112,112,144,Glendale,s_id,43.135288,-87.9356423,"Glendale, WI, s_id",WI
113,113,145,New York,s_id,40.7127753,-74.0059728,"New York, NY, s_id",NY
114,114,146,Modesto,s_id,37.6392595,-120.9970014,"Modesto, CA, s_id",CA
115,115,147,Escondido,s_id,33.1192068,-117.086421,"Escondido, CA, s_id",CA
116,116,148,"Dunbar, East Lothian",GB,56.002087,-2.516737,"Dunbar, East Lothian, GB",
117,117,149,Rebecq-Quenast,s_id,50.6922813,4.1236635,"Rebecq-Quenast, s_id",
118,118,150,Wilkes-Barre,s_id,41.2459149,-75.8813075,"Wilkes-Barre, PA, s_id",PA
119,119,152,London,,51.5072178,-0.1275862,"London, UK",UK
120,120,154,Waltham,s_id,42.3764852,-71.2356113,"Waltham, MA, s_id",MA
121,121,155,Guelph,s_id,43.5448048,-80.2481666,"Guelph, ON, s_id",ON
122,122,156,Idaho Springs,s_id,39.7424881,-105.5136081,"Idaho Springs, CO, s_id",CO
123,123,157,Solon,s_id,41.8072031,-91.4941481,"Solon, IA, s_id",IA
124,124,158,Denver,s_id,39.7392358,-104.990251,"Denver, CO, s_id",CO
125,125,159,Burton-on-Trent,s_id,52.81402809999999,-1.6371359,"Burton-on-Trent, GB2, s_id",GB2
126,126,160,Witney,s_id,51.7859365,-1.4850544,"Witney, GB2, s_id",GB2
127,127,161,Cape Canaveral,s_id,28.3922182,-80.6077132,"Cape Canaveral, FL, s_id",FL
128,128,162,Ipswich,s_id,42.6791832,-70.8411558,"Ipswich, MA, s_id",MA
129,129,163,Amsterdam,s_id,52.3675734,4.9041389,"Amsterdam, s_id",
